rank,api_provider,model,context_window,license,artificial_analysis_intelligence_index,blended_usd_per_1m_tokens,median_tokens_per_s,median_first_chunk_s,total_response_s,reasoning_time_s,model_url,providers_url
370,DeepInfra,Gemma 3 27B,131k,Open,10,$0.10,24,1.15,21.62,N/A,https://artificialanalysis.ai/models/gemma-3-27b,https://artificialanalysis.ai/models/gemma-3-27b/providers
371,Amazon Bedrock,Gemma 3 27B,128k,Open,10,$0.27,55,1.36,10.48,N/A,https://artificialanalysis.ai/models/gemma-3-27b,https://artificialanalysis.ai/models/gemma-3-27b/providers
372,Nebius (FP8),Gemma 3 27B (FP8),110k,Open,10,$0.15,66,1.39,8.91,N/A,https://artificialanalysis.ai/models/gemma-3-27b,https://artificialanalysis.ai/models/gemma-3-27b/providers
373,Google (AI Studio),Gemma 3 27B (AI Studio),128k,Open,10,$0.00,29,2.20,19.74,N/A,https://artificialanalysis.ai/models/gemma-3-27b,https://artificialanalysis.ai/models/gemma-3-27b/providers
374,Amazon Bedrock,Nova Micro,130k,Proprietary,10,$0.06,313,0.68,2.27,N/A,https://artificialanalysis.ai/models/nova-micro,https://artificialanalysis.ai/models/nova-micro/providers
375,Amazon Bedrock,NVIDIA Nemotron Nano 12B v2 VL,128k,Open,10,$0.30,202,1.06,3.53,N/A,https://artificialanalysis.ai/models/nvidia-nemotron-nano-12b-v2-vl,https://artificialanalysis.ai/models/nvidia-nemotron-nano-12b-v2-vl/providers
376,Nebius,NVIDIA Nemotron Nano 12B v2 VL,128k,Open,10,$0.10,130,1.07,4.92,N/A,https://artificialanalysis.ai/models/nvidia-nemotron-nano-12b-v2-vl,https://artificialanalysis.ai/models/nvidia-nemotron-nano-12b-v2-vl/providers
377,DeepInfra (FP8),NVIDIA Nemotron Nano 12B v2 VL (FP8),131k,Open,10,$0.30,125,0.61,4.60,N/A,https://artificialanalysis.ai/models/nvidia-nemotron-nano-12b-v2-vl,https://artificialanalysis.ai/models/nvidia-nemotron-nano-12b-v2-vl/providers
378,Reka AI,Reka Flash 3,128k,Open,10,$0.35,45,2.40,57.97,44.46,https://artificialanalysis.ai/models/reka-flash-3,https://artificialanalysis.ai/models/reka-flash-3/providers
379,Google (AI Studio),Gemma 3 12B (AI Studio),128k,Open,9,$0.00,28,20.81,38.70,N/A,https://artificialanalysis.ai/models/gemma-3-12b,https://artificialanalysis.ai/models/gemma-3-12b/providers
380,DeepInfra,Gemma 3 12B,131k,Open,9,$0.06,42,0.80,12.81,N/A,https://artificialanalysis.ai/models/gemma-3-12b,https://artificialanalysis.ai/models/gemma-3-12b/providers
381,Databricks,Gemma 3 12B,128k,Open,9,$0.24,93,0.75,6.14,N/A,https://artificialanalysis.ai/models/gemma-3-12b,https://artificialanalysis.ai/models/gemma-3-12b/providers
382,Amazon Bedrock,Gemma 3 12B,128k,Open,9,$0.14,89,1.28,6.89,N/A,https://artificialanalysis.ai/models/gemma-3-12b,https://artificialanalysis.ai/models/gemma-3-12b/providers
383,Cloudflare,Gemma 3 12B,80k,Open,9,$0.40,16,1.01,32.05,N/A,https://artificialanalysis.ai/models/gemma-3-12b,https://artificialanalysis.ai/models/gemma-3-12b/providers
384,DeepInfra,Llama 3.2 11B (Vision),131k,Open,9,$0.05,41,0.58,12.79,N/A,https://artificialanalysis.ai/models/llama-3-2-instruct-11b-vision,https://artificialanalysis.ai/models/llama-3-2-instruct-11b-vision/providers
385,Amazon Bedrock,Llama 3.2 11B (Vision),128k,Open,9,$0.16,49,0.57,10.87,N/A,https://artificialanalysis.ai/models/llama-3-2-instruct-11b-vision,https://artificialanalysis.ai/models/llama-3-2-instruct-11b-vision/providers
386,Microsoft Azure,Phi-4 Mini,128k,Open,8,$0.00,43,0.81,12.38,N/A,https://artificialanalysis.ai/models/phi-4-mini,https://artificialanalysis.ai/models/phi-4-mini/providers
387,Weights & Biases,Phi-4 Mini,128k,Open,8,$0.15,227,0.65,2.85,N/A,https://artificialanalysis.ai/models/phi-4-mini,https://artificialanalysis.ai/models/phi-4-mini/providers
388,Public AI,Apertus 70B Instruct,64k,Open,8,$1.34,60,2.75,11.11,N/A,https://artificialanalysis.ai/models/apertus-70b-instruct,https://artificialanalysis.ai/models/apertus-70b-instruct/providers
389,Together.ai,Gemma 3n E4B,33k,Open,6,$0.03,36,1.08,14.99,N/A,https://artificialanalysis.ai/models/gemma-3n-e4b,https://artificialanalysis.ai/models/gemma-3n-e4b/providers
390,DeepInfra,Gemma 3 4B,131k,Open,6,$0.05,72,0.73,7.67,N/A,https://artificialanalysis.ai/models/gemma-3-4b,https://artificialanalysis.ai/models/gemma-3-4b/providers
391,Google (AI Studio),Gemma 3 4B (AI Studio),128k,Open,6,$0.00,30,1.49,18.33,N/A,https://artificialanalysis.ai/models/gemma-3-4b,https://artificialanalysis.ai/models/gemma-3-4b/providers
392,Amazon Bedrock,Gemma 3 4B,128k,Open,6,$0.05,197,0.78,3.33,N/A,https://artificialanalysis.ai/models/gemma-3-4b,https://artificialanalysis.ai/models/gemma-3-4b/providers
393,Public AI,Apertus 8B Instruct,64k,Open,6,$0.13,133,2.12,5.87,N/A,https://artificialanalysis.ai/models/apertus-8b-instruct,https://artificialanalysis.ai/models/apertus-8b-instruct/providers
394,Google (AI Studio),Gemma 3 1B (AI Studio),32k,Open,6,$0.00,38,0.79,13.84,N/A,https://artificialanalysis.ai/models/gemma-3-1b,https://artificialanalysis.ai/models/gemma-3-1b/providers
395,Amazon Bedrock,Llama 3.2 90B (Vision),128k,Open,,$0.72,59,0.98,9.50,N/A,https://artificialanalysis.ai/models/llama-3-2-instruct-90b-vision,https://artificialanalysis.ai/models/llama-3-2-instruct-90b-vision/providers
396,DeepInfra,Llama 3.2 90B (Vision),33k,Open,,$0.36,41,0.63,12.97,N/A,https://artificialanalysis.ai/models/llama-3-2-instruct-90b-vision,https://artificialanalysis.ai/models/llama-3-2-instruct-90b-vision/providers
397,DeepInfra,DeepSeek R1 Distill Llama 70B,131k,Open,,$0.72,58,1.15,44.05,34.32,https://artificialanalysis.ai/models/deepseek-r1-distill-llama-70b,https://artificialanalysis.ai/models/deepseek-r1-distill-llama-70b/providers
398,Scaleway,DeepSeek R1 Distill Llama 70B,32k,Open,,$1.05,38,3.05,68.69,52.52,https://artificialanalysis.ai/models/deepseek-r1-distill-llama-70b,https://artificialanalysis.ai/models/deepseek-r1-distill-llama-70b/providers
399,Microsoft Azure,Phi-4 Multimodal,128k,Open,,$0.00,17,0.88,29.70,N/A,https://artificialanalysis.ai/models/phi-4-multimodal,https://artificialanalysis.ai/models/phi-4-multimodal/providers
400,Together.ai,Cogito v2.1,164k,Open,,$1.25,89,0.72,28.79,22.46,https://artificialanalysis.ai/models/cogito-v2-1-reasoning,https://artificialanalysis.ai/models/cogito-v2-1-reasoning/providers
