rank,api_provider,model,context_window,license,artificial_analysis_intelligence_index,blended_usd_per_1m_tokens,median_tokens_per_s,median_first_chunk_s,total_response_s,reasoning_time_s,model_url,providers_url
203,Hyperbolic (FP8),Qwen3 Coder 480B (FP8),262k,Open,25,$2.00,80,1.28,7.56,N/A,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct/providers
204,Alibaba Cloud,Qwen3 Coder 480B,262k,Open,25,$3.00,64,3.06,10.87,N/A,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct/providers
205,Nebius,Qwen3 Coder 480B,262k,Open,25,$0.75,59,1.36,9.81,N/A,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct/providers
206,Amazon Bedrock,Qwen3 Coder 480B,262k,Open,25,$0.61,71,1.46,8.54,N/A,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct/providers
207,Google Vertex,Qwen3 Coder 480B Vertex,262k,Open,25,$0.61,176,0.68,3.52,N/A,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct/providers
208,"DeepInfra (Turbo, FP4)","Qwen3 Coder 480B (Turbo, FP4)",262k,Open,25,$0.41,46,0.58,11.35,N/A,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct/providers
209,Novita,Qwen3 Coder 480B,262k,Open,25,$0.55,67,2.09,9.58,N/A,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct/providers
210,Weights & Biases,Qwen3 Coder 480B,262k,Open,25,$1.13,63,0.92,8.89,N/A,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct/providers
211,Eigen AI,Qwen3 Coder 480B,262k,Open,25,$0.61,264,1.42,3.31,N/A,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct/providers
212,Together.ai (FP8),Qwen3 Coder 480B (FP8),262k,Open,25,$2.00,164,0.59,3.64,N/A,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct,https://artificialanalysis.ai/models/qwen3-coder-480b-a35b-instruct/providers
213,Amazon Bedrock,Nova 2.0 Lite (low),1m,Proprietary,25,$0.85,204,8.77,20.99,9.78,https://artificialanalysis.ai/models/nova-2-0-lite-reasoning-low,https://artificialanalysis.ai/models/nova-2-0-lite-reasoning-low/providers
214,Baseten,gpt-oss-120B (low),128k,Open,24,$0.20,250,0.20,10.18,7.99,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
215,Lightning AI,gpt-oss-120B (low),128k,Open,24,$0.17,206,0.49,12.64,9.72,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
216,Amazon Bedrock,gpt-oss-120B (low),131k,Open,24,$0.26,271,0.92,10.13,7.37,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
217,Parasail,gpt-oss-120B (low),131k,Open,24,$0.26,40,1.30,63.96,50.13,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
218,Databricks,gpt-oss-120B (low),128k,Open,24,$0.26,173,0.60,15.04,11.55,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
219,Together.ai,gpt-oss-120B (low),131k,Open,24,$0.26,622,0.51,4.53,3.22,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
220,Hyperbolic,gpt-oss-120B (low),131k,Open,24,$0.30,540,0.74,5.37,3.71,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
221,Fireworks,gpt-oss-120B (low),131k,Open,24,$0.26,620,0.39,4.42,3.22,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
222,Groq,gpt-oss-120B (low),131k,Open,24,$0.26,467,0.61,5.97,4.28,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
223,Weights & Biases,gpt-oss-120B (low),131k,Open,24,$0.26,118,1.15,22.31,16.92,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
224,Cerebras,gpt-oss-120B (low),131k,Open,24,$0.45,"1,539",0.46,2.08,1.30,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
225,Clarifai,gpt-oss-120B (low),131k,Open,24,$0.16,281,0.41,9.30,7.11,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
